range,ranging_attempt_count,ranging_time_millisecond
2.39,158,164
2.39,50,53
2.40,266,275
2.41,590,608
2.38,265,274
2.42,806,830
2.41,266,275
2.44,266,275
2.49,1453,1495
2.48,374,386
2.38,158,164
2.37,1129,1162
2.36,374,386
2.38,158,164
2.38,266,275
2.36,158,164
2.36,265,274
2.39,159,165
2.37,50,53
2.36,49,52
2.35,158,164
2.38,158,164
2.37,50,53
2.45,698,719
2.42,266,275
2.41,158,164
2.40,266,275
2.40,50,53
2.37,1129,1162
2.39,50,53
2.37,50,53
2.36,266,275
2.37,104,108
2.42,481,496
2.40,266,275
2.41,1129,1162
2.40,589,607
2.42,51,54
2.40,158,164
2.44,49,52
2.37,158,164
2.38,50,53
2.42,265,274
2.45,157,163
2.45,481,496
2.44,264,273
2.42,481,496
2.43,157,163
2.40,695,716
2.45,265,274
2.37,266,275
2.43,265,274
2.48,265,274
2.47,158,164
2.43,589,607
2.46,373,385
2.38,266,275
2.38,49,52
2.41,104,108
2.48,912,939
2.40,912,939
2.44,481,496
2.38,158,164
2.37,157,163
2.45,158,164
2.44,481,496
2.44,588,606
2.46,373,385
2.44,697,718
2.44,588,606
2.44,158,164
2.40,697,718
2.41,265,274
2.39,373,385
2.41,158,164
2.43,481,496
2.45,481,496
2.42,265,274
2.40,427,440
2.40,157,163
2.41,212,219
2.40,157,163
2.41,212,219
2.43,804,827
2.43,49,52
2.38,212,219
2.39,319,329
2.45,157,163
2.42,157,163
2.45,50,53
2.46,158,164
2.40,427,440
2.39,105,109
2.38,158,164
2.39,49,52
2.39,427,440
2.43,105,109
2.45,643,662
2.42,158,164
2.41,50,53
2.40,49,52
2.39,374,385
2.39,319,329
2.42,481,495
2.39,427,440
2.38,211,218
2.40,50,53
2.39,265,274
2.38,50,53
2.38,158,164
2.39,319,329
2.44,157,163
2.41,158,164
2.36,50,53
2.44,211,218
2.39,265,274
2.35,265,274
2.40,50,53
2.40,374,385
2.42,427,440
2.40,320,330
2.45,158,164
2.42,265,274
2.39,50,53
2.40,319,329
2.41,265,274
2.36,266,275
2.43,265,274
2.43,158,164
2.35,49,52
2.40,158,164
2.39,158,164
2.40,50,53
2.47,265,274
2.39,50,53
2.39,427,440
2.36,590,607
2.37,105,109
2.44,50,53
2.41,157,163
2.39,50,53
2.39,50,53
2.37,861,886
2.45,157,163
2.41,969,997
2.42,644,663
2.37,1454,1495
2.39,266,275
2.42,158,164
2.39,50,53
2.39,50,53
2.41,158,164
2.43,49,52
2.40,158,164
2.39,266,275
2.40,50,53
2.40,158,164
2.39,50,53
2.40,266,275
2.39,590,607
2.38,319,329
2.39,212,219
2.35,373,384
2.38,158,164
2.41,104,108
2.38,157,163
2.37,266,275
2.37,212,219
2.39,212,219
2.41,157,163
2.41,158,164
2.36,50,53
2.39,158,164
2.37,319,329
2.40,158,164
2.39,49,52
2.38,50,53
2.40,212,219
2.47,158,164
2.39,50,53
2.36,1076,1106
2.37,374,385
2.39,158,164
2.37,49,52
2.38,645,664
2.36,320,330
2.39,265,274
2.40,428,441
2.42,265,274
2.37,374,385
2.36,428,441
2.38,807,830
2.37,50,53
2.38,212,219
2.38,157,163
2.40,104,108
2.35,50,53
2.40,158,164
2.38,266,275
2.39,49,52
2.39,644,663
2.34,50,53
2.41,320,330
2.39,482,496
2.38,49,52
2.45,159,165
2.40,157,163
2.37,320,330
2.41,158,164
2.40,50,53
2.47,320,330
2.39,319,329
2.35,265,274
2.38,536,552
2.41,482,496
2.39,752,774
2.43,50,53
2.42,212,219
2.39,157,163
2.39,50,53
2.39,212,219
2.41,49,52
2.37,50,53
2.38,320,330
2.41,211,218
2.38,914,940
2.39,266,275
2.43,49,52
2.41,50,53
2.39,320,330
2.43,320,330
2.39,373,384
2.36,374,385
2.42,319,329
2.38,158,164
2.39,374,385
2.41,266,275
2.39,752,774
2.41,49,52
2.36,50,53
2.42,51,54
2.37,644,663
2.38,158,164
2.42,50,53
2.41,158,164
2.40,50,53
2.40,320,330
2.38,157,163
2.39,158,164
2.38,158,164
2.37,428,441
2.36,375,386
2.37,265,274
2.39,49,52
2.35,644,663
2.40,212,219
2.38,374,385
2.39,482,496
2.39,49,52
2.39,158,164
2.39,212,219
2.40,644,663
2.38,50,53
2.38,644,663
2.39,158,164
2.40,158,164
2.42,50,53
2.38,158,164
2.39,50,53
2.39,374,385
2.37,211,218
2.38,158,164
2.40,698,719
2.38,157,163
2.39,698,719
2.36,373,385
2.39,374,386
2.36,50,53
2.39,158,164
2.41,50,53
2.41,50,53
2.38,266,275
2.37,50,53
2.39,158,164
2.39,266,275
2.37,266,275
2.37,373,385
2.37,483,498
2.37,373,385
2.40,50,53
2.38,805,829
2.39,590,608
2.39,50,53
2.36,50,53
2.39,50,53
2.39,104,108
2.36,48,51
2.40,696,717
2.39,265,274
2.34,372,384
2.39,373,385
2.39,265,274
2.39,265,274
2.37,587,605
2.39,50,53
2.39,50,53
2.39,50,53
2.38,50,53
2.39,157,163
2.39,50,53
2.38,50,53
2.41,158,164
2.35,373,385
2.36,158,164
2.43,373,385
2.38,158,164
2.39,1019,1049
2.40,50,53
2.37,266,275
2.40,49,52
2.40,158,164
2.37,50,53
2.41,157,163
2.40,50,53
2.41,589,607
2.41,158,164
2.35,265,274
2.37,50,53
2.38,1182,1216
2.42,480,495
2.41,589,607
2.38,50,53
2.38,157,163
2.38,50,53
2.37,50,53
2.39,158,164
2.40,373,385
2.40,158,164
2.39,373,385
2.37,265,274
2.37,481,496
2.42,50,53
2.39,266,275
2.37,1073,1104
2.40,50,53
2.39,50,53
2.38,265,274
2.36,266,275
2.41,49,52
2.37,158,164
2.41,265,274
2.37,50,53
2.39,266,275
2.38,588,606
2.38,50,53
2.36,373,385
2.37,158,164
2.40,158,164
2.39,481,496
2.43,481,496
2.39,50,53
2.39,589,607
2.37,265,274
2.38,50,53
2.40,50,53
2.39,481,496
2.41,265,274
2.40,50,53
2.39,50,53
2.40,104,108
2.40,588,606
2.38,158,164
2.38,265,274
2.42,158,164
2.38,373,385
2.39,265,274
2.37,158,164
2.37,50,53
2.39,50,53
2.42,50,53
2.39,265,274
2.40,104,108
2.39,49,52
2.39,50,53
2.40,50,53
2.42,104,108
2.40,49,52
2.39,50,53
2.42,50,53
2.37,157,163
2.39,1883,1937
2.41,265,274
2.39,697,718
2.38,50,53
2.38,50,53
2.42,50,53
2.38,697,718
2.41,50,53
2.37,266,275
2.40,266,275
2.40,374,386
2.39,266,275
2.35,1021,1051
2.39,266,275
2.39,50,53
2.37,158,164
2.39,266,275
2.43,266,275
2.38,157,163
2.42,590,608
2.40,590,608
2.40,50,53
2.38,50,53
2.38,374,386
2.41,805,829
2.39,50,53
2.39,50,53
2.42,374,386
2.41,50,53
2.38,50,53
2.37,158,164
2.42,266,275
2.40,373,385
2.40,482,497
2.39,266,275
2.38,266,275
2.37,50,53
2.38,158,164
2.38,266,275
2.38,374,386
2.39,157,163
2.39,266,275
2.39,50,53
2.39,266,275
2.43,536,552
2.41,49,52
2.40,158,164
2.36,266,275
2.40,158,164
2.34,158,164
2.42,266,275
2.36,158,164
2.36,373,385
2.38,266,275
2.43,374,386
2.36,374,386
2.37,49,52
2.38,50,53
2.35,158,164
2.35,266,275
2.37,482,497
2.38,158,164
2.34,374,386
2.40,50,53
2.38,50,53
2.35,266,275
2.36,265,274
2.39,1022,1052
2.38,481,496
2.38,50,53
2.38,374,386
2.39,374,386
2.38,158,164
2.40,266,275
2.36,49,52
2.42,1130,1163
2.39,157,163
2.40,50,53
2.38,1130,1163
2.39,50,53
2.38,50,53
2.41,481,496
2.38,266,275
2.41,158,164
2.37,590,608
2.40,697,718
2.37,806,830
2.41,1075,1106
2.36,265,274
2.43,159,165
2.37,157,163
2.35,1346,1385
2.42,158,164
2.40,481,496
2.37,104,108
2.38,805,829
2.43,482,497
2.39,481,496
2.37,374,386
2.39,50,53
2.39,374,386
2.40,1453,1495
2.42,158,164
2.42,482,497
2.38,103,107
2.37,590,608
2.41,589,607
2.40,50,53
2.38,482,497
2.41,590,608
2.39,158,164
2.36,211,218
2.40,482,497
2.38,373,385
2.43,50,53
2.41,374,386
2.38,589,607
2.39,50,53
2.40,482,497
2.40,374,386
2.41,157,163
2.39,159,165
2.39,50,53
2.39,49,52
2.40,1130,1163
2.39,914,941
2.39,49,52
2.37,374,386
2.38,158,164
2.41,590,608
2.40,50,53
2.40,50,53
2.37,158,164
2.39,50,53
2.37,482,497
2.38,265,274
2.39,50,53
2.41,158,164
2.39,482,497
2.38,158,164
2.41,158,164
2.44,158,164
2.42,266,275
2.39,103,107
2.40,50,53
2.38,698,719
2.38,50,53
2.38,50,53
2.43,158,164
2.40,50,53
2.36,50,53
2.40,158,164
2.38,49,52
2.40,1022,1052
2.42,590,608
2.39,103,107
2.38,266,275
2.37,482,497
2.39,266,275
2.39,49,52
2.38,50,53
2.39,265,274
2.38,158,164
2.38,49,52
2.37,373,385
2.38,265,274
2.44,157,163
2.41,373,385
2.39,157,163
2.40,589,607
2.35,912,939
2.40,50,53
2.40,50,53
2.40,481,496
2.40,50,53
2.41,50,53
2.41,266,275
2.38,373,385
2.38,157,163
2.38,266,275
2.39,265,274
2.38,266,275
2.37,265,274
2.38,374,386
2.40,50,53
2.41,372,384
2.43,482,497
2.39,49,52
2.38,697,718
2.40,158,164
2.39,50,53
2.41,912,939
2.37,696,717
2.40,104,108
2.41,50,53
2.39,49,52
2.38,158,164
2.40,373,385
2.35,266,275
2.42,481,496
2.43,1127,1160
2.39,265,274
2.40,104,108
2.37,265,274
2.40,266,275
2.41,535,551
2.36,480,495
2.38,104,108
2.39,49,52
2.37,158,164
2.38,158,164
2.40,50,53
2.38,265,274
2.35,158,164
2.37,157,163
2.42,50,53
2.36,158,164
2.38,158,164
2.39,265,274
2.40,50,53
2.39,696,717
2.36,266,275
2.37,265,274
2.37,158,164
2.37,157,163
2.38,104,108
2.37,158,164
2.37,49,52
2.39,50,53
2.40,50,53
2.41,50,53
2.38,104,108
2.39,103,107
2.37,157,162
2.39,482,496
2.41,373,384
2.42,49,52
2.41,50,53
2.39,482,496
2.39,157,162
2.35,49,52
2.41,212,219
2.40,158,164
2.40,212,219
2.37,536,551
2.40,212,219
2.39,158,164
2.40,49,52
2.41,752,773
2.37,49,52
2.41,211,218
2.39,481,495
2.37,50,53
2.38,482,496
2.38,698,718
2.38,374,385
2.37,211,218
2.39,103,107
2.36,49,52
2.39,213,220
2.39,50,53
2.36,212,219
2.40,158,164
2.36,104,108
2.40,1076,1105
2.41,50,53
2.39,158,164
2.39,104,108
2.37,482,496
2.42,103,107
2.37,428,441
2.36,50,53
2.39,104,108
2.37,211,218
2.42,159,165
2.36,50,53
2.35,49,52
2.38,104,108
2.40,50,53
2.39,374,385
2.38,428,441
2.38,50,53
2.37,428,441
2.38,969,995
2.36,49,52
2.36,159,164
2.36,212,219
2.39,319,329
2.41,50,53
2.38,158,163
2.41,50,53
2.39,320,330
2.43,753,774
2.38,50,53
2.40,428,441
2.40,50,53
2.39,537,552
2.38,374,385
2.43,49,52
2.39,104,108
2.38,49,52
2.37,213,220
2.38,158,164
2.41,50,53
2.38,482,496
2.42,320,330
2.38,158,164
2.38,50,53
2.36,158,164
2.38,50,53
2.39,320,330
2.41,428,440
2.38,537,552
2.42,103,107
2.38,590,607
2.42,50,53
2.39,212,219
2.37,49,52
2.38,483,497
2.41,49,52
2.39,158,164
2.42,104,108
2.41,49,52
2.41,1402,1440
2.37,50,53
2.41,50,53
2.39,158,164
2.38,50,53
2.41,753,774
2.36,427,439
2.39,213,220
2.38,590,607
2.37,320,330
2.38,320,330
2.38,50,53
2.38,50,53
2.41,50,53
2.41,104,108
2.36,482,496
2.36,211,218
2.39,51,54
2.44,50,53
2.40,698,718
2.38,158,163
2.41,320,330
2.36,50,53
2.42,50,53
2.41,158,163
2.40,50,53
2.40,104,108
2.39,158,164
2.37,49,52
2.36,483,497
2.40,374,385
2.38,49,52
2.39,104,108
2.36,49,52
2.39,50,53
2.37,753,774
2.38,158,163
2.37,49,52
2.38,50,53
2.38,50,53
2.36,212,219
2.39,429,442
2.40,104,108
2.39,49,52
2.41,104,108
2.36,590,607
2.41,104,108
2.39,50,53
2.44,50,53
2.39,157,163
2.40,104,108
2.41,158,164
2.37,320,330
2.36,483,497
2.41,103,107
2.40,49,52
2.43,321,331
2.42,1672,1717
2.40,320,330
2.39,429,442
2.40,320,330
2.43,50,53
2.39,50,53
2.38,104,108
2.42,103,107
2.39,50,53
2.36,103,107
2.41,50,53
2.41,374,385
2.36,536,551
2.41,50,53
2.39,50,53
2.37,320,330
2.38,483,497
2.41,320,330
2.39,428,441
2.39,50,53
2.38,698,718
2.38,212,219
2.38,50,53
2.35,375,386
2.37,49,52
2.37,50,53
2.38,266,274
2.39,212,219
2.40,50,53
2.40,213,220
2.41,50,53
2.37,320,330
2.40,969,996
2.38,50,53
2.38,427,440
2.40,50,53
2.37,319,329
2.39,320,330
2.37,966,993
2.38,50,53
2.43,49,52
2.38,50,53
2.41,158,164
2.36,642,660
2.38,428,441
2.40,103,107
2.39,590,607
2.37,157,163
2.39,374,385
2.38,103,107
2.38,212,219
2.37,49,52
2.40,212,219
2.35,534,550
2.39,320,330
2.37,50,53
2.38,50,53
2.37,211,218
2.39,103,107
2.37,50,53
2.38,50,53
2.40,50,53
2.38,535,551
2.35,103,107
2.38,50,53
2.40,265,273
2.39,50,53
2.43,50,53
2.38,158,164
2.48,643,661
2.47,157,163
2.43,212,219
2.44,103,107
2.43,50,53
2.40,535,551
2.40,50,53
2.39,50,53
2.42,50,53
2.37,211,218
2.41,427,440
2.37,212,219
2.36,49,52
2.40,50,53
2.41,50,53
2.42,212,219
2.38,319,329
2.41,320,330
2.39,266,274
2.38,157,163
2.40,50,53
2.40,589,606
2.37,50,53
2.42,50,53
2.40,49,52
2.41,158,164
2.39,158,164
2.38,50,53
2.37,750,771
2.38,212,219
2.39,49,52
2.39,50,53
2.38,50,53
2.39,212,219
2.41,750,771
2.35,427,440
2.41,212,219
2.39,588,605
2.38,212,219
2.39,49,52
2.40,50,53
2.37,211,218
2.40,212,219
2.38,49,52
2.40,103,107
2.38,265,273
2.37,428,441
2.38,157,163
2.38,320,330
2.37,50,53
2.40,50,53
2.36,158,164
2.39,211,218
2.37,49,52
2.40,50,53
2.40,320,330
2.67,50,53
2.77,319,329
2.76,50,53
2.56,643,661
2.53,158,164
2.58,158,164
2.37,265,273
2.50,266,274
2.69,49,52
2.46,158,164
2.41,266,274
2.44,158,164
2.44,50,53
2.43,212,219
2.43,49,52
2.44,50,53
2.48,698,718
2.36,644,663
2.43,212,219
2.36,49,52
2.35,158,164
2.39,428,441
2.37,158,164
2.35,374,385
2.39,158,164
2.39,536,552
2.35,158,164
2.36,158,164
2.39,212,219
2.39,49,52
2.38,320,330
2.42,50,53
2.41,212,219
2.37,157,163
2.36,374,385
2.38,320,330
